b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"QBIO-481","Structural Bioinformatics: From Atoms to Cells","","4.0 units","Lecture","13481R","001","11:00-12:20pm","Tue, Thu","19","11","0","<a href="http://rohslab.cmb.usc.edu">Remo Rohs,</a><a href="https://dornsife.usc.edu/cf/faculty-and-staff/faculty.cfm?pid=1058304">Vsevolod Katritch</a>","RRI101"
"","","","","Discussion","13482R","001","TBA","TBA","19","11","0","","OFFICE"
"QBIO-490x","Directed Research","MC","1.0-8.0 units, max 12","Lecture","12990D","001","TBA","TBA","10","0","0","<a href="http://rohslab.cmb.usc.edu">Remo Rohs,</a>Peter Calabrese","OFFICE"
"QBIO-493","Quantitative Biology Honors Seminar","PMC","2.0 units, max 4","Lecture","12993D","001","3:30-5:30pm","Monday","10","3","0","<a href="http://rohslab.cmb.usc.edu">Remo Rohs,</a>Peter Calabrese","RRI421"
"QBIO-494x","Quantitative Biology Honors Thesis","PMC","2.0 units","Lecture","12994D","001","TBA","TBA","10","0","0","","RRI421"
'
